[03:31:16.730] Saved model at iteration 0
[03:35:33.357] Saved model at iteration 0
[03:36:57.426] Saved model at iteration 0
[03:44:18.784] Saved model at iteration 0
[03:45:57.340] Saved model at iteration 0
[03:53:48.354] 164,3.549297,-0.277000,0.042479,3.468656,3.151612
[03:53:49.479] 165,3.538751,-0.280631,0.042836,3.462386,3.141596
[03:53:50.603] 166,3.502249,-0.318876,0.041784,3.460988,3.183529
[03:53:51.729] 167,3.578561,-0.235831,0.044709,3.459431,3.102521
[03:53:52.857] 168,3.489989,-0.320863,0.040686,3.451702,3.184643
[03:53:53.978] 169,3.523086,-0.288008,0.041722,3.456703,3.126688
[03:53:55.103] 170,3.505854,-0.308122,0.043022,3.454774,3.161794
[03:53:56.230] 171,3.518932,-0.283305,0.044600,3.444595,3.130430
[03:53:57.355] 172,3.526452,-0.272978,0.045614,3.442947,3.108692
[03:53:58.479] 173,3.491963,-0.302975,0.044434,3.435913,3.145919
[03:53:59.610] 174,3.471464,-0.315812,0.042832,3.429037,3.154062
[03:54:00.736] 175,3.547563,-0.238605,0.044464,3.434657,3.070476
[03:54:01.858] 176,3.458819,-0.325893,0.041706,3.427398,3.156081
[03:54:02.980] 177,3.469265,-0.315054,0.041491,3.429838,3.129902
[03:54:04.105] 178,3.512104,-0.269481,0.043777,3.430431,3.073775
[03:54:05.229] 179,3.471724,-0.304808,0.044362,3.420401,3.117703
[03:54:06.354] 180,3.451257,-0.319194,0.044558,3.413114,3.127793
[03:54:07.477] 181,3.479342,-0.283497,0.043971,3.410387,3.084801
[03:54:08.601] 182,3.445077,-0.319600,0.041642,3.411753,3.112813
[03:54:09.727] 183,3.451883,-0.305126,0.042084,3.405149,3.097762
[03:54:10.852] 184,3.442300,-0.308763,0.041941,3.399681,3.094410
[03:54:11.973] 185,3.451457,-0.308015,0.042909,3.406530,3.100339
[03:54:13.098] 186,3.443725,-0.304282,0.041241,3.399084,3.076820
[03:54:14.223] 187,3.459724,-0.285094,0.042544,3.396656,3.056181
[03:54:15.350] 188,3.450870,-0.290129,0.043342,3.389740,3.079159
[03:54:16.472] 189,3.439690,-0.299514,0.043645,3.387532,3.080273
[03:54:17.597] 190,3.423835,-0.309233,0.042638,3.383052,3.073776
[03:54:18.723] 191,3.425364,-0.303454,0.042127,3.380336,3.063548
[03:54:19.846] 192,3.432193,-0.298799,0.043477,3.379682,3.078324
[03:54:20.968] 193,3.436025,-0.284855,0.043982,3.372829,3.040684
[03:54:22.094] 194,3.437675,-0.285817,0.045262,3.376314,3.019168
[03:54:23.218] 195,3.386573,-0.330094,0.043128,3.365176,3.083628
[03:54:24.345] 196,3.402698,-0.309788,0.044630,3.361337,3.065186
[03:54:25.468] 197,3.380972,-0.323591,0.043064,3.354974,3.065251
[03:54:26.594] 198,3.388577,-0.312809,0.043125,3.354692,3.035691
[03:54:27.720] 199,3.397712,-0.303905,0.044356,3.352208,3.050533
[03:54:28.847] 200,3.386653,-0.315722,0.044096,3.354463,3.038172
[03:54:29.970] 201,3.391567,-0.297840,0.044406,3.343353,3.016484
[03:54:31.100] 202,3.377389,-0.310664,0.044065,3.341615,3.023722
[03:54:32.226] 203,3.373789,-0.317716,0.045368,3.341767,3.043699
[03:54:33.348] 204,3.353890,-0.324072,0.042390,3.330437,3.051356
[03:54:34.472] 205,3.347654,-0.330386,0.041737,3.332383,3.039199
[03:54:35.598] 206,3.342123,-0.327887,0.042915,3.322442,3.046532
[03:54:36.722] 207,3.337569,-0.329312,0.042791,3.319650,3.044399
[03:54:37.845] 208,3.370010,-0.297684,0.044212,3.323111,3.003707
[03:54:38.970] 209,3.321274,-0.337226,0.042342,3.311815,3.043423
[03:54:40.098] 210,3.349805,-0.307313,0.042837,3.314980,2.993015
[03:54:41.221] 211,3.366889,-0.288258,0.044362,3.315654,2.951313
[03:54:42.345] 212,3.319902,-0.330905,0.042588,3.306331,3.018877
[03:54:43.469] 213,3.322254,-0.319629,0.044027,3.297894,2.999626
[03:54:44.598] 214,3.358086,-0.285228,0.044777,3.303864,2.946728
[03:54:45.725] 215,3.306801,-0.330961,0.042691,3.293794,3.012769
[03:54:46.848] 216,3.325912,-0.312588,0.044186,3.297101,2.972134
[03:54:47.974] 217,3.308415,-0.323450,0.044012,3.290655,2.971986
[03:54:49.101] 218,3.329834,-0.301522,0.044918,3.291004,2.954334
[03:54:50.223] 219,3.320614,-0.299056,0.043293,3.281379,2.949982
[03:54:51.345] 220,3.330151,-0.293381,0.046106,3.283603,2.938235
[03:54:52.471] 221,3.317975,-0.301376,0.046975,3.277090,2.952861
[03:54:53.600] 222,3.287293,-0.324433,0.046195,3.268409,2.971214
[03:54:54.727] 223,3.288950,-0.325694,0.045106,3.273922,2.956161
[03:54:55.851] 224,3.272378,-0.335366,0.042689,3.267841,2.972137
[03:54:56.979] 225,3.308264,-0.297568,0.046371,3.267452,2.920094
[03:54:58.105] 226,3.286618,-0.315716,0.046152,3.261482,2.946996
[03:54:59.232] 227,3.277622,-0.319677,0.045522,3.257302,2.944750
[03:55:00.356] 228,3.259423,-0.330927,0.044317,3.253206,2.928271
[03:55:01.481] 229,3.269266,-0.318019,0.044252,3.249150,2.938830
[03:55:02.607] 230,3.323560,-0.272173,0.049336,3.259708,2.866893
[03:55:03.732] 231,3.287961,-0.298774,0.046891,3.247841,2.920042
[03:55:04.855] 232,3.268467,-0.306574,0.045942,3.237375,2.917229
[03:55:05.982] 233,3.256015,-0.320809,0.046393,3.235639,2.947919
